movie,year,rating,director,starCast,crew,language
Anand,1971,8.7,Hrishikesh Mukherjee (dir.)," Rajesh Khanna, Amitabh Bachchan"," Rajesh Khanna , Amitabh Bachchan , Sumita Sanyal , Ramesh Deo , Seema Deo , Asit Kumar Sen , Dev Kishan , Atam Prakash , Lalita Kumari , Savita , Brahm Bhardwaj , Gurnam Singh , Lalita Pawar , Durga Khote , Dara Singh ",Hindi
Drishyam,2013,8.6,Jeethu Joseph (dir.)," Mohanlal, Meena"," Mohanlal , Meena , Ansiba , Esther , Kalabhavan Shajohn , Asha Sharath , Siddique , Roshan Basheer , Pradeep Chandran , Kalabhavan Haneef , Irshad , Koottickal Jayachandran , Kunchan , Neeraj Madhav , Aneesh Menon ",Malayalam
Nayakan,1987,8.5,Mani Ratnam (dir.)," Kamal Haasan, Saranya Ponvannan"," Kamal Haasan , Saranya Ponvannan , Delhi Ganesh , Janagaraj , Karthika , Nassar , Tinnu Anand , Nizhalgal Ravi , M.V. Vasudeva Rao ",Tamil
Anbe Sivam,2003,8.5,Sundar C. (dir.)," Kamal Haasan, Madhavan"," Kamal Haasan , Madhavan , Kiran Rathod , Nassar , Santhana Bharathi , Uma Riyaz Khan , Yugi Sethu , Ilavarasu , Balu Anand , Seema , R.S. Shivaji , Laxmi Rattan , Chelladurai , Hillaary , Jacob ",Tamil
Gol Maal,1979,8.5,Hrishikesh Mukherjee (dir.)," Amol Palekar, Bindiya Goswami"," Amol Palekar , Bindiya Goswami , Deven Verma , Shubha Khote , Manju Singh , Dina Pathak , Pushpa , David Abraham , Yunus Parvez , Utpal Dutt , Ashwani , Harish Magon , Bhola , Amol Sen , Siddharth ",Hindi
Vikram Vedha,2017,8.4,Gayatri (dir.)," Vijay Sethupathi, Madhavan"," Vijay Sethupathi , Madhavan , Varalaxmi Sarathkumar , Shraddha Srinath , Kathir , Achyuth Kumar , Hareesh Peradi , Manikandan , Rajkumar , Prem , Vivek Prasanna , Gowri Lakshmi , Sugunthan , Baby Vaishnavi , E. Karthik ",English
Black Friday,2004,8.4,Anurag Kashyap (dir.)," Kay Kay Menon, Pavan Malhotra"," Kay Kay Menon , Pavan Malhotra , Aditya Srivastava , Dibyendu Bhattacharya , Kishore Kadam , Gajraj Rao , Zakir Hussain , Somesh Agarwal , Akhilesh Tripathi , Imtiaz Ali , Raj Arjun , Ragesh Asthana , Sushovan Banerjee , Asif Basra , Aditya Bhattacharya ",Hindi
Ratsasan,2018,8.4,Ram Kumar (dir.)," Radha Ravi, Sangili Murugan"," Radha Ravi , Sangili Murugan , Nizhalgal Ravi , Saravanan , Vinodhini Vaidynathan , Gajaraj , Sanjay , Kumar , Karunakaran , Ghibran , Abhirami , Suzane George , Munishkanth , Amala Paul , Sanjay ",Tamil
Dangal,2016,8.3,Nitesh Tiwari (dir.)," Aamir Khan, Sakshi Tanwar"," Aamir Khan , Fatima Sana Shaikh , Sanya Malhotra , Sakshi Tanwar , Aparshakti Khurana , Zaira Wasim , Suhani Bhatnagar , Ritvik Sahore , Girish Kulkarni , Ravi Aneja , Anurag Arora , Mahesh Balraj , Vivan Bhatena , Anmol Charan , Karmveer Choudhary ",Hindi
 Pather Panchali,1955,8.3,Satyajit Ray (dir.)," Kanu Bannerjee, Karuna Bannerjee"," Kanu Bannerjee , Karuna Bannerjee , Chunibala Devi , Uma Das Gupta , Subir Banerjee , Runki Banerjee , Reba Devi , Aparna Devi , Tulsi Chakraborty , Haren Banerjee , Rampada Das , Nibhanani Devi , Rama Gangopadhaya , Roma Ganguli , Binoy Mukherjee ",Bengali
Uri: The Surgical Strike,2019,8.3,Aditya Dhar (dir.)," Vicky Kaushal, Paresh Rawal"," Vicky Kaushal , Paresh Rawal , Yami Gautam , Mohit Raina , Kirti Kulhari , Rajit Kapoor , Ivan Rodrigues , Fareed Ahmed , Akashdeep Arora , Kallol Banerjee , Amaan Asif , Padam Bhola , Guru Bhullar , Beant Singh Buttar , Ashit Chatterjee ",Hindi
Taare Zameen Par,2007,8.3,Aamir Khan (dir.)," Darsheel Safary, Aamir Khan"," Darsheel Safary , Aamir Khan , Tisca Chopra , Vipin Sharma , Sachet Engineer , Tanay Chheda , Lalitha Lajmi , Girija Oak , Ravi Khanvilkar , Pratima Kulkarni , Meghna Malik , Sonali Sachdev , Sanjay Dadich , Raaj Gopal Iyer , Bugs Bhargava ",Hindi
Andhadhun,2018,8.3,Sriram Raghavan (dir.)," Ayushmann Khurrana, Tabu"," Ayushmann Khurrana , Tabu , Radhika Apte , Anil Dhawan , Manav Vij , Ashwini Kalsekar , Chhaya Kadam , Zakir Hussain , Rashmi Agdekar , Abhishek Shukla , Mohini Kewalramani , Nikitasha Kapoor , Saumin Patel , Hera Sajid , Pratik Nandkumar More ",Hindi
3 Idiots,2009,8.3,Rajkumar Hirani (dir.)," Aamir Khan, Madhavan"," Aamir Khan , Madhavan , Sharman Joshi , Kareena Kapoor , Boman Irani , Omi Vaidya , Mona Singh , Javed Jaffrey , Parikshat Sahni , Olivier Lafont , Rahul Kumar , Amardeep Jha , Farida Dadi , Mukund Bhatt , Chaitali Bose ",Hindi
